movieId,title,genres,imdb_id,tmdb_id,ratings_count,zero_to_one_ratings_count,one_to_two_ratings_count,two_to_three_ratings_count,three_to_four_ratings_count,four_to_five_ratings_count,average_rating,tags,earliest_rating,latest_rating,earliest_tag,latest_tag
19,Ace Ventura: When Nature Calls (1995),Comedy,112281,9273,88,10,28,21,24,5,2.73,no tag,12/5/1996,23/12/2017,1/1/1970,1/1/1970
20,Money Train (1995),Action|Comedy|Crime|Drama|Thriller,113845,11517,15,2,6,2,5,0,2.5,no tag,21/05/1996,26/06/2017,1/1/1970,1/1/1970
21,Get Shorty (1995),Comedy|Crime|Thriller,113161,8012,89,2,6,32,40,9,3.49,Hollywood,17/04/1996,23/12/2017,14/01/2006,14/01/2006
22,Copycat (1995),Crime|Drama|Horror|Mystery|Thriller,112722,1710,36,1,3,19,10,3,3.22,serial killer,29/03/1996,11/8/2018,16/01/2006,16/01/2006
23,Assassins (1995),Action|Crime|Thriller,112401,9691,16,1,3,5,5,2,3.12,no tag,18/04/1996,26/06/2017,1/1/1970,1/1/1970
24,Powder (1995),Drama|Sci-Fi,114168,12665,28,1,5,12,7,3,3.12,no tag,14/07/1996,14/02/2018,1/1/1970,1/1/1970
25,Leaving Las Vegas (1995),Drama|Romance,113627,451,76,4,7,19,25,21,3.62,alcoholism,17/04/1996,9/2/2018,24/01/2006,24/01/2006
26,Othello (1995),Drama,114057,16420,13,0,0,5,8,0,3.5,Shakespeare,14/05/1996,26/06/2017,24/01/2006,24/01/2006
27,Now and Then (1995),Children|Drama,114011,9263,9,0,2,4,0,3,3.33,no tag,10/10/1996,21/02/2015,1/1/1970,1/1/1970
28,Persuasion (1995),Drama|Romance,114117,17015,11,0,0,1,3,7,4.23,In Netflix queue|Jane Austen,17/08/1996,4/7/2015,13/01/2006,14/01/2006
29,"City of Lost Children, The (Cit? des enfants perdus, La) (1995)",Adventure|Drama|Fantasy|Mystery|Sci-Fi,112682,902,38,0,3,2,18,15,4.01,kidnapping,24/08/1996,26/06/2017,24/01/2006,24/01/2006
30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Crime|Drama,115012,37557,3,1,0,0,2,0,3,no tag,9/7/2000,9/12/2002,1/1/1970,1/1/1970
31,Dangerous Minds (1995),Drama,112792,9909,38,2,4,15,14,3,3.18,high school|teacher,14/05/1996,3/7/2018,16/01/2006,16/01/2006
32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery|Sci-Fi|Thriller,114746,63,177,1,3,33,83,57,3.98,time travel|time travel|Brad Pitt|Bruce Willis|mindfuck|Post apocalyptic|post-apocalyptic|remake|time travel|twist ending,17/04/1996,31/08/2018,14/01/2006,13/03/2016
34,Babe (1995),Children|Drama,112431,9598,128,4,11,30,53,30,3.65,Animal movie|pigs|villain nonexistent or not needed for good story,17/04/1996,17/09/2018,13/01/2006,12/6/2009
36,Dead Man Walking (1995),Crime|Drama,112818,687,67,3,1,11,36,16,3.84,death penalty|Nun,17/04/1996,23/12/2017,13/01/2006,14/01/2006
38,It Takes Two (1995),Children|Comedy,113442,33689,4,1,1,2,0,0,2.12,twins,17/04/2000,28/12/2014,16/01/2006,16/01/2006
39,Clueless (1995),Comedy|Romance,112697,9603,104,8,7,42,33,14,3.29,chick flick|funny|Paul Rudd|quotable|seen more than once|Emma|Jane Austen,17/04/1996,1/9/2018,24/01/2006,26/09/2012
40,"Cry, the Beloved Country (1995)",Drama,112749,34615,2,0,0,0,1,1,4.25,In Netflix queue|South Africa,15/12/1996,10/7/2003,14/01/2006,14/01/2006
41,Richard III (1995),Drama|War,114279,31174,15,0,0,5,8,2,3.7,Shakespeare,10/6/1996,26/06/2017,24/01/2006,24/01/2006
42,Dead Presidents (1995),Action|Crime|Drama,112819,11443,7,0,2,3,2,0,3,no tag,6/8/1996,27/06/2017,1/1/1970,1/1/1970
43,Restoration (1995),Drama,114272,35196,8,0,1,4,3,0,3.19,England,17/10/1996,23/02/2018,24/01/2006,24/01/2006
44,Mortal Kombat (1995),Action|Adventure|Fantasy,113855,9312,46,8,13,13,11,1,2.54,no tag,14/05/1996,10/8/2018,1/1/1970,1/1/1970
45,To Die For (1995),Comedy|Drama|Thriller,114681,577,32,0,3,17,8,4,3.31,Journalism,23/05/1996,26/06/2017,14/01/2006,14/01/2006
46,How to Make an American Quilt (1995),Drama|Romance,113347,11861,15,2,2,5,4,2,3.07,wedding,14/05/1996,5/4/2012,16/01/2006,16/01/2006
47,Seven (a.k.a. Se7en) (1995),Mystery|Thriller,114369,807,203,4,8,34,76,81,3.98,mystery|twist ending|serial killer,17/04/1996,10/8/2018,14/01/2006,13/03/2016
48,Pocahontas (1995),Animation|Children|Drama|Musical|Romance,114148,10530,68,5,9,25,21,8,3.15,no tag,29/03/1996,14/02/2018,1/1/1970,1/1/1970
49,When Night Is Falling (1995),Drama|Romance,114916,8391,1,0,0,1,0,0,3,no tag,22/11/2000,22/11/2000,1/1/1970,1/1/1970
50,"Usual Suspects, The (1995)",Crime|Mystery|Thriller,114814,629,204,2,3,25,61,113,4.24,mindfuck|suspense|thriller|tricky|twist ending|heist,17/04/1996,17/09/2018,14/01/2006,13/03/2016
52,Mighty Aphrodite (1995),Comedy|Drama|Romance,113819,11448,28,1,1,12,11,3,3.46,adoption|prostitution,17/04/1996,27/06/2017,14/01/2006,14/01/2006
53,Lamerica (1994),Adventure|Drama,110299,49133,2,0,0,0,0,2,5,no tag,9/3/1998,9/7/2000,1/1/1970,1/1/1970
54,"Big Green, The (1995)",Children|Comedy,112499,26441,3,1,1,0,1,0,2.33,no tag,17/10/1996,24/07/2002,1/1/1970,1/1/1970
55,Georgia (1995),Drama,113158,97406,1,0,0,0,1,0,4,no tag,19/03/1997,19/03/1997,1/1/1970,1/1/1970
57,Home for the Holidays (1995),Drama,113321,9089,8,0,1,6,0,1,3.06,no tag,17/08/1996,21/02/2018,1/1/1970,1/1/1970
58,"Postman, The (Postino, Il) (1994)",Comedy|Drama|Romance,110877,11010,37,0,3,5,14,15,4.03,writing,17/04/1996,1/10/2010,24/01/2006,24/01/2006
60,"Indian in the Cupboard, The (1995)",Adventure|Children|Fantasy,113419,11359,34,2,5,12,12,3,3.24,no tag,29/03/1996,20/02/2018,1/1/1970,1/1/1970
61,Eye for an Eye (1996),Drama|Thriller,116260,17182,6,0,0,2,3,1,3.75,no tag,10/10/1996,22/02/2018,1/1/1970,1/1/1970
62,Mr. Holland's Opus (1995),Drama,113862,2054,80,3,4,25,24,24,3.71,music,12/4/1996,11/8/2018,16/01/2006,16/01/2006
63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),Comedy|Crime,116126,10607,7,1,1,3,2,0,2.71,no tag,17/12/1996,14/07/2012,1/1/1970,1/1/1970
64,Two if by Sea (1996),Comedy|Romance,118002,19760,5,1,2,2,0,0,2.2,no tag,25/02/1997,21/01/2001,1/1/1970,1/1/1970
65,Bio-Dome (1996),Comedy,115683,9536,31,6,7,13,3,2,2.53,no tag,17/10/1996,14/02/2018,1/1/1970,1/1/1970
66,Lawnmower Man 2: Beyond Cyberspace (1996),Action|Sci-Fi|Thriller,116839,11525,9,2,1,5,1,0,2.5,no tag,17/10/1996,24/01/2008,1/1/1970,1/1/1970
68,French Twist (Gazon maudit) (1995),Comedy|Romance,113149,4482,5,0,1,2,1,1,3.4,no tag,15/12/1996,18/02/2007,1/1/1970,1/1/1970
69,Friday (1995),Comedy,113118,10634,20,0,1,5,9,5,3.78,no tag,12/5/1996,26/06/2017,1/1/1970,1/1/1970
70,From Dusk Till Dawn (1996),Action|Comedy|Horror|Thriller,116367,755,55,2,8,9,26,10,3.51,no tag,12/5/1996,3/7/2018,1/1/1970,1/1/1970
71,Fair Game (1995),Action,113010,11859,5,1,4,0,0,0,1.7,no tag,16/09/1997,21/06/2006,1/1/1970,1/1/1970
72,Kicking and Screaming (1995),Comedy|Drama,113537,28387,7,1,1,1,3,1,3.21,no tag,17/04/1996,29/11/2014,1/1/1970,1/1/1970
73,"Mis?rables, Les (1995)",Drama|War,113828,48750,13,0,1,4,8,0,3.46,no tag,17/06/1996,23/02/2018,1/1/1970,1/1/1970
74,Bed of Roses (1996),Drama|Romance,115644,20927,8,0,0,2,4,2,4,no tag,17/12/1996,11/11/2004,1/1/1970,1/1/1970
75,Big Bully (1996),Comedy|Drama,115676,36929,5,2,0,3,0,0,2.2,no tag,14/02/1997,23/02/2018,1/1/1970,1/1/1970
76,Screamers (1995),Action|Sci-Fi|Thriller,114367,9102,15,1,2,4,5,3,3.4,no tag,14/05/1996,26/06/2017,1/1/1970,1/1/1970
77,Nico Icon (1995),Documentary,113973,124626,1,0,0,0,1,0,4,no tag,31/03/2000,31/03/2000,1/1/1970,1/1/1970
78,"Crossing Guard, The (1995)",Action|Crime|Drama|Thriller,112744,27526,3,0,0,2,1,0,3.33,no tag,23/02/1997,20/06/2000,1/1/1970,1/1/1970
79,"Juror, The (1996)",Drama|Thriller,116731,9623,17,2,7,2,5,1,2.76,no tag,16/10/1996,22/02/2018,1/1/1970,1/1/1970
80,"White Balloon, The (Badkonake sefid) (1995)",Children|Drama,112445,46785,2,0,0,0,2,0,4,no tag,9/12/2002,13/02/2007,1/1/1970,1/1/1970
81,Things to Do in Denver When You're Dead (1995),Crime|Drama|Romance,114660,400,14,0,2,8,3,1,3.11,no tag,17/12/1996,26/06/2017,1/1/1970,1/1/1970
82,Antonia's Line (Antonia) (1995),Comedy|Drama,112379,880,8,1,0,1,2,4,3.88,no tag,14/05/1996,18/07/2010,1/1/1970,1/1/1970
83,Once Upon a Time... When We Were Colored (1995),Drama|Romance,114039,146599,1,0,0,1,0,0,3,no tag,22/01/1997,22/01/1997,1/1/1970,1/1/1970
85,Angels and Insects (1995),Drama|Romance,112365,8447,7,1,0,2,0,4,3.86,no tag,17/04/1996,28/05/2001,1/1/1970,1/1/1970
86,White Squall (1996),Action|Adventure|Drama,118158,10534,15,0,0,4,7,4,3.97,no tag,8/8/1996,18/02/2007,1/1/1970,1/1/1970
87,Dunston Checks In (1996),Children|Comedy,116151,17414,7,1,1,5,0,0,2.5,no tag,17/10/1996,21/02/2018,1/1/1970,1/1/1970
88,Black Sheep (1996),Comedy,115697,13997,16,1,3,4,6,2,3.16,no tag,17/10/1996,7/3/2018,1/1/1970,1/1/1970
89,Nick of Time (1995),Action|Thriller,113972,2086,10,0,1,4,5,0,3.25,no tag,17/10/1996,26/06/2017,1/1/1970,1/1/1970
92,Mary Reilly (1996),Drama|Horror|Thriller,117002,9095,8,1,3,1,3,0,2.62,Jekyll and Hyde,14/05/1996,13/02/2007,24/01/2006,24/01/2006
93,Vampire in Brooklyn (1995),Comedy|Horror|Romance,114825,12158,9,1,1,4,3,0,2.83,no tag,18/05/1996,26/06/2017,1/1/1970,1/1/1970
94,Beautiful Girls (1996),Comedy|Drama|Romance,115639,9283,10,0,0,1,8,1,3.95,no tag,17/04/1996,2/8/2007,1/1/1970,1/1/1970
95,Broken Arrow (1996),Action|Adventure|Thriller,115759,9208,84,5,16,35,21,7,3.02,no tag,17/04/1996,23/12/2017,1/1/1970,1/1/1970
96,In the Bleak Midwinter (1995),Comedy|Drama,113403,40154,1,0,0,0,1,0,3.5,theater,15/05/2003,15/05/2003,24/01/2006,24/01/2006
97,"Hate (Haine, La) (1995)",Crime|Drama,113247,406,10,0,0,3,3,4,3.9,no tag,6/8/1996,20/02/2018,1/1/1970,1/1/1970
99,Heidi Fleiss: Hollywood Madam (1995),Documentary,113283,63076,2,0,0,0,0,2,5,no tag,17/04/1996,31/03/2000,1/1/1970,1/1/1970
100,City Hall (1996),Drama|Thriller,115907,11062,14,1,2,10,1,0,2.79,no tag,6/8/1996,26/06/2017,1/1/1970,1/1/1970
101,Bottle Rocket (1996),Adventure|Comedy|Crime|Romance,115734,13685,23,1,1,4,9,8,3.78,crime|off-beat comedy|quirky,19/10/1999,2/5/2018,24/01/2006,2/5/2018
102,Mr. Wrong (1996),Comedy,117102,47475,5,3,0,0,1,1,2.4,no tag,17/10/1996,8/8/2000,1/1/1970,1/1/1970
103,Unforgettable (1996),Mystery|Sci-Fi|Thriller,118040,2045,3,0,0,3,0,0,3,no tag,10/10/1996,18/05/1997,1/1/1970,1/1/1970
104,Happy Gilmore (1996),Comedy,116483,9614,99,3,10,30,39,17,3.44,test tag|golf|Adam Sandler,12/4/1996,15/04/2018,16/01/2006,12/6/2009
105,"Bridges of Madison County, The (1995)",Drama|Romance,112579,688,23,1,1,12,7,2,3.28,no tag,12/4/1996,30/01/2015,1/1/1970,1/1/1970
106,Nobody Loves Me (Keiner liebt mich) (1994),Comedy|Drama,110251,11907,1,0,0,0,1,0,4,no tag,9/4/2001,9/4/2001,1/1/1970,1/1/1970
107,Muppet Treasure Island (1996),Adventure|Children|Comedy|Musical,117110,10874,26,1,2,12,7,4,3.33,muppets,14/05/1996,13/12/2017,16/01/2006,16/01/2006
108,Catwalk (1996),Documentary,112646,89333,1,0,0,0,1,0,4,no tag,31/03/2000,31/03/2000,1/1/1970,1/1/1970
110,Braveheart (1995),Action|Drama|War,112573,197,237,5,8,36,87,101,4.03,beautiful scenery|epic|historical|inspirational|Medieval|mel gibson|Oscar (Best Cinematography)|revenge|sword fight|Scotland,17/04/1996,30/07/2018,13/01/2006,4/6/2018
111,Taxi Driver (1976),Crime|Drama|Thriller,75314,103,104,0,4,17,36,47,4.11,assassination,17/04/1996,13/08/2018,14/01/2006,14/01/2006
112,Rumble in the Bronx (Hont faan kui) (1995),Action|Adventure|Comedy|Crime,113326,33542,46,1,3,17,17,8,3.54,no tag,12/5/1996,27/06/2017,1/1/1970,1/1/1970
113,Before and After (1996),Drama|Mystery,115645,43566,3,0,0,2,1,0,3.33,no tag,17/10/1996,19/03/1997,1/1/1970,1/1/1970
116,Anne Frank Remembered (1995),Documentary,112373,51352,5,0,0,2,1,2,3.9,Holocaust,5/11/1996,15/05/2003,23/01/2006,23/01/2006
117,"Young Poisoner's Handbook, The (1995)",Crime|Drama,115033,16934,1,0,0,1,0,0,3,no tag,14/05/1996,14/05/1996,1/1/1970,1/1/1970
118,If Lucy Fell (1996),Comedy|Romance,116606,10324,2,0,1,1,0,0,2.5,no tag,19/06/2000,8/8/2000,1/1/1970,1/1/1970
119,"Steal Big, Steal Little (1995)",Comedy,114536,78406,2,0,0,2,0,0,3,no tag,26/12/1996,19/06/2000,1/1/1970,1/1/1970
121,"Boys of St. Vincent, The (1992)",Drama,106473,32119,2,0,0,0,2,0,4,no tag,14/05/1996,24/03/2000,1/1/1970,1/1/1970
122,Boomerang (1992),Comedy|Romance,103859,11066,16,1,4,9,2,0,2.66,dating,18/04/1996,2/2/2014,16/01/2006,16/01/2006
123,Chungking Express (Chung Hing sam lam) (1994),Drama|Mystery|Romance,109424,11104,4,0,0,1,0,3,4.38,no tag,31/03/2000,15/09/2015,1/1/1970,1/1/1970
125,Flirting With Disaster (1996),Comedy,116324,2074,12,1,1,2,5,3,3.58,no tag,10/6/1996,5/4/2009,1/1/1970,1/1/1970
126,"NeverEnding Story III, The (1994)",Adventure|Children|Fantasy,110647,27793,7,2,3,2,0,0,2,no tag,14/05/1996,30/10/2001,1/1/1970,1/1/1970
128,Jupiter's Wife (1994),Documentary,110217,290157,1,0,0,1,0,0,3,no tag,26/02/2005,26/02/2005,1/1/1970,1/1/1970
129,Pie in the Sky (1996),Comedy|Romance,114131,110972,1,0,1,0,0,0,2,no tag,23/11/2000,23/11/2000,1/1/1970,1/1/1970
132,Jade (1995),Thriller,113451,11863,6,0,2,3,1,0,2.83,no tag,18/05/1996,11/10/2000,1/1/1970,1/1/1970
135,Down Periscope (1996),Comedy,116130,9101,31,4,4,12,10,1,2.95,no tag,17/08/1996,24/08/2012,1/1/1970,1/1/1970
137,Man of the Year (1995),Documentary,113756,5757,1,0,0,1,0,0,3,no tag,5/11/1996,5/11/1996,1/1/1970,1/1/1970
140,Up Close and Personal (1996),Drama|Romance,118055,9302,16,0,0,8,6,2,3.5,journalism,12/4/1996,20/03/2010,16/01/2006,16/01/2006
141,"Birdcage, The (1996)",Comedy,115685,11000,86,3,3,32,40,8,3.49,no tag,12/4/1996,1/9/2018,1/1/1970,1/1/1970
144,"Brothers McMullen, The (1995)",Comedy,112585,16388,12,0,2,4,5,1,3.33,no tag,17/04/1996,22/02/2018,1/1/1970,1/1/1970
145,Bad Boys (1995),Action|Comedy|Crime|Drama|Thriller,112442,9737,51,2,5,19,22,3,3.25,no tag,18/04/1996,17/01/2018,1/1/1970,1/1/1970
146,"Amazing Panda Adventure, The (1995)",Adventure|Children,112342,30765,3,0,0,2,1,0,3.33,no tag,14/05/1996,17/09/2002,1/1/1970,1/1/1970
147,"Basketball Diaries, The (1995)",Drama,112461,10474,15,0,1,5,7,2,3.47,addiction|heroin|Leonardo DiCaprio|Mark Wahlberg,6/8/1996,20/02/2018,13/03/2016,13/03/2016
148,"Awfully Big Adventure, An (1995)",Drama,112427,22279,1,0,0,0,0,1,5,no tag,17/04/1996,17/04/1996,1/1/1970,1/1/1970
149,Amateur (1994),Crime|Drama|Thriller,109093,30157,1,0,1,0,0,0,2,no tag,9/7/2000,9/7/2000,1/1/1970,1/1/1970
150,Apollo 13 (1995),Adventure|Drama|IMAX,112384,568,201,1,12,46,85,57,3.85,moon|NASA|space,29/03/1996,1/9/2018,13/01/2006,14/01/2006
151,Rob Roy (1995),Action|Drama|Romance|War,114287,11780,44,1,3,16,17,7,3.55,no tag,29/03/1996,30/01/2015,1/1/1970,1/1/1970
152,"Addiction, The (1995)",Drama|Horror,112288,34996,2,1,1,0,0,0,1.5,no tag,21/08/2000,6/5/2017,1/1/1970,1/1/1970
153,Batman Forever (1995),Action|Adventure|Comedy|Crime,112462,414,137,9,23,74,24,7,2.92,superhero|superhero,17/04/1996,31/08/2018,16/01/2006,4/2/2006
154,Beauty of the Day (Belle de jour) (1967),Drama,61395,649,12,0,0,3,7,2,3.88,no tag,27/08/1996,29/06/2015,1/1/1970,1/1/1970
155,Beyond Rangoon (1995),Adventure|Drama|War,112495,1873,6,2,1,1,2,0,2.42,no tag,17/04/1996,23/02/2018,1/1/1970,1/1/1970
156,Blue in the Face (1995),Comedy|Drama,112541,5894,3,0,1,0,2,0,3.33,no tag,9/7/2000,17/02/2007,1/1/1970,1/1/1970
157,Canadian Bacon (1995),Comedy|War,109370,1775,11,0,5,3,2,1,2.86,no tag,16/10/1996,22/02/2018,1/1/1970,1/1/1970
158,Casper (1995),Adventure|Children,112642,8839,62,8,12,25,12,5,2.81,no tag,17/04/1996,20/02/2018,1/1/1970,1/1/1970
159,Clockers (1995),Crime|Drama|Mystery,112688,20649,14,1,3,5,4,1,2.89,no tag,17/04/1996,26/06/2017,1/1/1970,1/1/1970
160,Congo (1995),Action|Adventure|Mystery|Sci-Fi,112715,10329,57,6,9,26,12,4,2.88,Michael Crichton,17/04/1996,26/06/2017,16/01/2006,16/01/2006
161,Crimson Tide (1995),Drama|Thriller|War,112740,8963,103,2,6,30,48,17,3.64,submarine,29/03/1996,11/8/2018,24/01/2006,24/01/2006
162,Crumb (1994),Documentary,109508,26564,17,0,0,1,9,7,4.21,In Netflix queue,17/04/1996,24/09/2018,14/01/2006,14/01/2006
163,Desperado (1995),Action|Romance|Western,112851,8068,66,3,3,23,22,15,3.56,no tag,18/04/1996,26/06/2017,1/1/1970,1/1/1970
164,Devil in a Blue Dress (1995),Crime|Film-Noir|Mystery|Thriller,112857,8512,14,0,1,8,4,1,3.32,no tag,29/03/1996,26/06/2017,1/1/1970,1/1/1970
165,Die Hard: With a Vengeance (1995),Action|Crime|Thriller,112864,1572,144,2,12,53,48,29,3.56,no tag,29/03/1996,25/12/2017,1/1/1970,1/1/1970
166,"Doom Generation, The (1995)",Comedy|Crime|Drama,112887,13552,3,0,1,1,1,0,2.83,no tag,19/06/2000,9/6/2003,1/1/1970,1/1/1970
168,First Knight (1995),Action|Drama|Romance,113071,6520,54,5,11,15,13,10,3.08,no tag,29/03/1996,25/06/2018,1/1/1970,1/1/1970
169,Free Willy 2: The Adventure Home (1995),Adventure|Children|Drama,113114,9073,10,2,2,5,1,0,2.4,no tag,29/03/1996,4/4/2016,1/1/1970,1/1/1970
170,Hackers (1995),Action|Adventure|Crime|Thriller,113243,10428,35,1,3,20,6,5,3.23,no tag,14/05/1996,27/06/2017,1/1/1970,1/1/1970
171,Jeffrey (1995),Comedy|Drama,113464,17447,6,0,0,3,1,2,3.83,no tag,27/06/1996,9/8/2000,1/1/1970,1/1/1970
172,Johnny Mnemonic (1995),Action|Sci-Fi|Thriller,113481,9886,53,7,15,16,12,3,2.68,no tag,12/5/1996,26/06/2017,1/1/1970,1/1/1970
173,Judge Dredd (1995),Action|Crime|Sci-Fi,113492,9482,62,10,11,28,11,2,2.67,no tag,12/5/1996,26/06/2017,1/1/1970,1/1/1970
174,Jury Duty (1995),Comedy,113500,19326,10,2,3,2,1,2,2.7,no tag,18/05/1996,21/02/2007,1/1/1970,1/1/1970
175,Kids (1995),Drama,113540,9344,20,0,0,4,9,7,3.98,controversial|New York City|Nudity (Full Frontal),17/04/1996,26/06/2017,13/03/2016,13/03/2016
176,Living in Oblivion (1995),Comedy,113677,9071,13,0,0,0,8,5,4.31,no tag,24/08/1996,18/02/2018,1/1/1970,1/1/1970
177,Lord of Illusions (1995),Horror,113690,8973,8,2,0,4,2,0,2.75,no tag,14/05/1996,2/1/2009,1/1/1970,1/1/1970
178,Love & Human Remains (1993),Comedy|Drama,107447,15730,1,1,0,0,0,0,1,no tag,17/04/1996,17/04/1996,1/1/1970,1/1/1970
179,Mad Love (1995),Drama|Romance,113729,47608,2,1,1,0,0,0,1.5,no tag,17/10/1996,20/06/2000,1/1/1970,1/1/1970
180,Mallrats (1995),Comedy|Romance,113749,2293,36,1,4,8,20,3,3.4,no tag,12/5/1996,17/01/2018,1/1/1970,1/1/1970
181,Mighty Morphin Power Rangers: The Movie (1995),Action|Children,113820,9070,17,6,2,6,3,0,2.26,no tag,14/05/1996,21/02/2018,1/1/1970,1/1/1970
183,Mute Witness (1994),Comedy|Horror|Thriller,110604,48787,2,0,0,1,1,0,3.5,no tag,14/05/1996,9/12/2002,1/1/1970,1/1/1970
184,Nadja (1994),Drama,110620,34574,2,0,0,1,1,0,3.5,no tag,14/05/1996,9/7/2000,1/1/1970,1/1/1970
185,"Net, The (1995)",Action|Crime|Thriller,113957,1642,112,10,14,51,28,9,3.04,computers,29/03/1996,11/8/2018,16/01/2006,16/01/2006
186,Nine Months (1995),Comedy|Romance,113986,11472,48,5,6,24,11,2,2.82,no tag,29/03/1996,5/1/2018,1/1/1970,1/1/1970
187,Party Girl (1995),Comedy,114095,36196,4,0,0,1,1,2,4.12,no tag,9/7/2000,7/3/2005,1/1/1970,1/1/1970
188,"Prophecy, The (1995)",Fantasy|Horror|Mystery,114194,11980,12,0,2,3,5,2,3.46,no tag,14/05/1996,26/06/2017,1/1/1970,1/1/1970
189,Reckless (1995),Comedy|Fantasy,114241,58372,1,0,0,1,0,0,3,no tag,17/10/1996,17/10/1996,1/1/1970,1/1/1970
190,Safe (1995),Thriller,114323,32646,5,1,1,2,0,1,2.8,no tag,13/12/1999,31/03/2003,1/1/1970,1/1/1970
191,"Scarlet Letter, The (1995)",Drama|Romance,114345,10533,6,1,3,1,0,1,2.42,no tag,23/06/1996,22/02/2018,1/1/1970,1/1/1970
193,Showgirls (1995),Drama,114436,10802,35,6,12,11,5,1,2.47,no tag,17/04/1996,20/02/2018,1/1/1970,1/1/1970
194,Smoke (1995),Comedy|Drama,114478,10149,18,1,2,5,3,7,3.67,no tag,17/04/1996,19/11/2016,1/1/1970,1/1/1970
195,Something to Talk About (1995),Comedy|Drama|Romance,114496,18402,10,0,4,1,4,1,3.1,no tag,29/03/1996,20/02/2018,1/1/1970,1/1/1970
196,Species (1995),Horror|Sci-Fi,114508,9348,45,5,10,21,9,0,2.67,no tag,18/04/1996,26/06/2017,1/1/1970,1/1/1970
198,Strange Days (1995),Action|Crime|Drama|Mystery|Sci-Fi|Thriller,114558,281,28,0,6,12,7,3,3.25,no tag,12/5/1996,27/06/2017,1/1/1970,1/1/1970
199,"Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les) (1964)",Drama|Musical|Romance,58450,5967,4,0,0,1,1,2,4.12,Made me cry,14/05/1996,31/01/2005,14/01/2006,14/01/2006
201,Three Wishes (1995),Drama|Fantasy,114663,47939,1,0,0,1,0,0,3,no tag,17/10/1996,17/10/1996,1/1/1970,1/1/1970
202,Total Eclipse (1995),Drama|Romance,114702,36834,1,0,0,1,0,0,3,no tag,20/02/2007,20/02/2007,1/1/1970,1/1/1970
